441892.94,4659985.46
441892.94,4659985.46
441890.96,4659985.48
441890.96,4659985.48
441889.94,4659985.48
441901.8,4659985.34
441900.81,4659985.35
441900.81,4659985.35
441900.81,4659985.35
441900.49,4659982.83
441898.52,4659982.86
441898.52,4659982.86
441897.55,4659982.88
441898.82,4659985.37
441897.55,4659982.88
441895.56,4659982.89
441894.94,4659985.44
441894.52,4659986.32
441893.95,4659985.45
441894.52,4659986.32
441892.94,4659985.46
441892.94,4659985.46
441894.59,4659982.91
441894.59,4659982.91
441893.62,4659982.93
441891.95,4659982.03
441891.59,4659982.94
441892.59,4659982.93
441890.59,4659982.94
441890.59,4659982.94
441891.95,4659982.03
441890.59,4659982.94
441889.98,4659982.05
441889.01,4659982.07
441889.59,4659982.95
441888.59,4659982.96
441888.56,4659986.37
441888.56,4659986.37
441887.01,4659985.53
441886.57,4659986.39
441902.47,4659982.81
441902.79,4659981.88
441900.8,4659981.91
441899.79,4659981.91
441900.16,4659979.41
441900.16,4659979.41
441898.17,4659979.44
441897.85,4659978.44
441897.85,4659978.44
441897.22,4659979.46
441897.55,4659982.88
441897.22,4659979.46
441897.85,4659978.44
441896.23,4659979.47
441895.22,4659979.48
441895.95,4659976.14
441894.96,4659976.16
441893.95,4659975.24
441893.97,4659976.17
441891.95,4659975.26
441892.97,4659976.18
441891.95,4659975.26
441891.97,4659976.19
441891.92,4659978.52
441890.99,4659976.2
441889.98,4659976.21
441890.93,4659978.54
441890.24,4659979.53
441889.95,4659978.55
441888.97,4659978.56
441889.24,4659979.54
441889.01,4659982.07
441888.24,4659979.55
441887.25,4659979.56
441888.04,4659982.09
441887.04,4659982.1
441887.01,4659985.53
441887.01,4659985.53
441886.03,4659985.54
441885.61,4659982.98
441885.0,4659985.54
441885.0,4659985.54
441885.61,4659982.98
441884.04,4659982.13
441883.6,4659983.0
441883.6,4659983.0
441884.0,4659985.55
441882.61,4659983.01
441881.59,4659983.01
441883.01,4659985.57
441881.0,4659985.58
441881.59,4659983.01
441880.59,4659983.02
441880.21,4659979.61
441880.03,4659982.17
441880.21,4659979.61
441879.2,4659979.61
441879.99,4659978.66
441879.95,4659976.28
441878.97,4659978.66
441878.93,4659976.29
441875.96,4659978.69
441876.16,4659979.63
441876.16,4659979.63
441877.18,4659979.62
441877.18,4659979.62
441878.01,4659982.18
441876.99,4659982.18
441876.99,4659982.18
441877.55,4659983.03
441880.03,4659982.17
441879.57,4659983.03
441878.97,4659985.59
