x=441892.940000,y=4659985.460000,height=301.914776
x=441892.940000,y=4659985.460000,height=301.914776
x=441890.960000,y=4659985.480000,height=302.114193
x=441890.960000,y=4659985.480000,height=302.114193
x=441889.940000,y=4659985.480000,height=302.131934
x=441901.800000,y=4659985.340000,height=300.689639
x=441900.810000,y=4659985.350000,height=300.813508
x=441900.810000,y=4659985.350000,height=300.813508
x=441900.810000,y=4659985.350000,height=300.813508
x=441900.490000,y=4659982.830000,height=301.048655
x=441898.520000,y=4659982.860000,height=301.327655
x=441898.520000,y=4659982.860000,height=301.327655
x=441897.550000,y=4659982.880000,height=301.549945
x=441898.820000,y=4659985.370000,height=301.054835
x=441897.550000,y=4659982.880000,height=301.549945
x=441895.560000,y=4659982.890000,height=301.779717
x=441894.940000,y=4659985.440000,height=301.708679
point: x = 441894.520000, y = 4659986.320000 is not in this area.
x=441893.950000,y=4659985.450000,height=301.807379
point: x = 441894.520000, y = 4659986.320000 is not in this area.
x=441892.940000,y=4659985.460000,height=301.914776
x=441892.940000,y=4659985.460000,height=301.914776
x=441894.590000,y=4659982.910000,height=301.998848
x=441894.590000,y=4659982.910000,height=301.998848
x=441893.620000,y=4659982.930000,height=302.202012
x=441891.950000,y=4659982.030000,height=302.230296
x=441891.590000,y=4659982.940000,height=302.230886
x=441892.590000,y=4659982.930000,height=302.153100
x=441890.590000,y=4659982.940000,height=302.314675
x=441890.590000,y=4659982.940000,height=302.314675
x=441891.950000,y=4659982.030000,height=302.230296
x=441890.590000,y=4659982.940000,height=302.314675
x=441889.980000,y=4659982.050000,height=302.393696
x=441889.010000,y=4659982.070000,height=302.535694
x=441889.590000,y=4659982.950000,height=302.372403
x=441888.590000,y=4659982.960000,height=302.484383
point: x = 441888.560000, y = 4659986.370000 is not in this area.
point: x = 441888.560000, y = 4659986.370000 is not in this area.
x=441887.010000,y=4659985.530000,height=302.429993
point: x = 441886.570000, y = 4659986.390000 is not in this area.
point: x = 441902.470000, y = 4659982.810000 is not in this area.
point: x = 441902.790000, y = 4659981.880000 is not in this area.
x=441900.800000,y=4659981.910000,height=301.098136
x=441899.790000,y=4659981.910000,height=301.171133
x=441900.160000,y=4659979.410000,height=301.481157
